2016-10-11 14:42:01 startup archives install
2016-10-11 14:42:01 install base-passwd:i386 <none> 3.5.33
2016-10-11 14:42:01 status half-installed base-passwd:i386 3.5.33
2016-10-11 14:42:01 status unpacked base-passwd:i386 3.5.33
2016-10-11 14:42:01 status unpacked base-passwd:i386 3.5.33
2016-10-11 14:42:01 configure base-passwd:i386 3.5.33 3.5.33
2016-10-11 14:42:01 status unpacked base-passwd:i386 3.5.33
2016-10-11 14:42:01 status half-configured base-passwd:i386 3.5.33
2016-10-11 14:42:01 status installed base-passwd:i386 3.5.33
2016-10-11 14:42:01 startup archives install
2016-10-11 14:42:01 install base-files:i386 <none> 7.2ubuntu5
2016-10-11 14:42:01 status half-installed base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 configure base-files:i386 7.2ubuntu5 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status unpacked base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status half-configured base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 status installed base-files:i386 7.2ubuntu5
2016-10-11 14:42:01 startup archives install
2016-10-11 14:42:01 upgrade dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2016-10-11 14:42:01 status half-configured dpkg 1.17.5ubuntu5
2016-10-11 14:42:01 status unpacked dpkg 1.17.5ubuntu5
2016-10-11 14:42:01 status half-installed dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status half-installed dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status unpacked dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status unpacked dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 configure dpkg 1.17.5ubuntu5 1.17.5ubuntu5
2016-10-11 14:42:02 status unpacked dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status unpacked dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status unpacked dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status unpacked dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status unpacked dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status half-configured dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 status installed dpkg 1.17.5ubuntu5
2016-10-11 14:42:02 startup archives install
2016-10-11 14:42:02 install libc6:i386 <none> 2.19-0ubuntu6
2016-10-11 14:42:02 status half-installed libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:02 status unpacked libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:02 status unpacked libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:02 configure libc6:i386 2.19-0ubuntu6 2.19-0ubuntu6
2016-10-11 14:42:02 status unpacked libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:02 status unpacked libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:02 status half-configured libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:02 status installed libc6:i386 2.19-0ubuntu6
2016-10-11 14:42:02 startup archives install
2016-10-11 14:42:02 install perl-base:i386 <none> 5.18.2-2ubuntu1
2016-10-11 14:42:02 status half-installed perl-base:i386 5.18.2-2ubuntu1
2016-10-11 14:42:02 status unpacked perl-base:i386 5.18.2-2ubuntu1
2016-10-11 14:42:02 status unpacked perl-base:i386 5.18.2-2ubuntu1
2016-10-11 14:42:02 configure perl-base:i386 5.18.2-2ubuntu1 5.18.2-2ubuntu1
2016-10-11 14:42:02 status unpacked perl-base:i386 5.18.2-2ubuntu1
2016-10-11 14:42:02 status half-configured perl-base:i386 5.18.2-2ubuntu1
2016-10-11 14:42:02 status installed perl-base:i386 5.18.2-2ubuntu1
2016-10-11 14:42:02 startup archives install
2016-10-11 14:42:02 install mawk:i386 <none> 1.3.3-17ubuntu2
2016-10-11 14:42:02 status half-installed mawk:i386 1.3.3-17ubuntu2
2016-10-11 14:42:02 status unpacked mawk:i386 1.3.3-17ubuntu2
2016-10-11 14:42:02 status unpacked mawk:i386 1.3.3-17ubuntu2
2016-10-11 14:42:02 configure mawk:i386 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2016-10-11 14:42:02 status unpacked mawk:i386 1.3.3-17ubuntu2
2016-10-11 14:42:02 status half-configured mawk:i386 1.3.3-17ubuntu2
2016-10-11 14:42:02 status installed mawk:i386 1.3.3-17ubuntu2
2016-10-11 14:42:03 startup archives install
2016-10-11 14:42:03 install debconf:all <none> 1.5.51ubuntu2
2016-10-11 14:42:03 status half-installed debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 configure debconf:all 1.5.51ubuntu2 1.5.51ubuntu2
2016-10-11 14:42:03 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 status unpacked debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 status half-configured debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 status installed debconf:all 1.5.51ubuntu2
2016-10-11 14:42:03 startup archives unpack
2016-10-11 14:42:03 install adduser:all <none> 3.113+nmu3ubuntu3
2016-10-11 14:42:03 status half-installed adduser:all 3.113+nmu3ubuntu3
2016-10-11 14:42:04 status unpacked adduser:all 3.113+nmu3ubuntu3
